Trial,Year,plot,trt,herbicide,gpa,application,rep,weedbiomass_gm2,covercropbiomass_gm2,photo_1,photo_2,photo_3,average_cover,commonragweed,lambsquarters,velvetleaf,grass,purslanespeedwell,control_overall_21DAA
Termination,2019,107,7,glufosinate,15,planter,1,,226.0,,,,12.89,,,,,,
Termination,2019,205,7,glufosinate,15,planter,2,,218.9,,,,18.51,,,,,,
Termination,2019,307,7,glufosinate,15,planter,3,,165.0,,,,16.32,,,,,,
Termination,2019,405,7,glufosinate,15,planter,4,,208.1,,,,23.59,,,,,,
Termination,2019,108,8,glyphosate,10,backpack,1,,218.9,,,,0.05,,,,,,
Termination,2019,202,8,glyphosate,10,backpack,2,,251.2,,,,0,,,,,,
Termination,2019,308,8,glyphosate,10,backpack,3,,287.0,,,,0,,,,,,
Termination,2019,402,8,glyphosate,10,backpack,4,,233.2,,,,0,,,,,,
Termination,2019,109,9,glufosinate,10,backpack,1,,366.0,,,,19.41,,,,,,
Termination,2019,204,9,glufosinate,10,backpack,2,,229.6,,,,3.89,,,,,,
Termination,2019,309,9,glufosinate,10,backpack,3,,369.6,,,,22.87,,,,,,
Termination,2019,404,9,glufosinate,10,backpack,4,,165.0,,,,11.38,,,,,,
Termination,2019,110,10,glyphosate,15,backpack,1,,197.3,,,,0.02,,,,,,
Termination,2019,210,10,glyphosate,15,backpack,2,,215.3,,,,0,,,,,,
Termination,2019,310,10,glyphosate,15,backpack,3,,380.3,,,,0,,,,,,
Termination,2019,410,10,glyphosate,15,backpack,4,,175.8,,,,0,,,,,,
Termination,2019,111,11,glufosinate,15,backpack,1,,197.3,,,,16.63,,,,,,
Termination,2019,208,11,glufosinate,15,backpack,2,,276.3,,,,10.07,,,,,,
Termination,2019,311,11,glufosinate,15,backpack,3,,290.6,,,,21.87,,,,,,
Termination,2019,408,11,glufosinate,15,backpack,4,,226.0,,,,,,,,,,
Termination,2020,101,1,untreated,0,untreated,1,,1142.1,96.86,87.68,77.8,87.4,,,,,,
Termination,2020,116,1,untreated,0,untreated,2,,834.5,71.17,74.19,77.75,74.4,,,,,,
Termination,2020,201,1,untreated,0,untreated,3,,1177.1,73.4,71.76,86.94,77.4,,,,,,
Termination,2020,216,1,untreated,0,untreated,4,,1015.7,62.49,52.4,52.12,55.7,,,,,,
Termination,2020,102,2,glyphosate,5,planter,1,,298.4,0.24,0.01,0.03,0.1,,,,,,
Termination,2020,112,2,glyphosate,5,planter,2,,259.8,0.06,0,0.12,0.1,,,,,,
Termination,2020,202,2,glyphosate,5,planter,3,,227.7,0.05,0.02,0.04,0.0,,,,,,
Termination,2020,212,2,glyphosate,5,planter,4,,246.1,0.05,0.11,0,0.1,,,,,,
Termination,2020,103,3,glufosinate,5,planter,1,,326.4,14.88,12,7.71,11.5,,,,,,
Termination,2020,113,3,glufosinate,5,planter,2,,233.8,39.12,5.24,12.48,18.9,,,,,,
Termination,2020,203,3,glufosinate,5,planter,3,,289.7,26.34,7.74,5.84,13.3,,,,,,
Termination,2020,213,3,glufosinate,5,planter,4,,217.2,21.02,40.82,32.68,31.5,,,,,,
Termination,2020,104,4,glyphosate,10,planter,1,,305.1,0.23,0.04,0.04,0.1,,,,,,
Termination,2020,115,4,glyphosate,10,planter,2,,245.4,0.05,0.02,0.03,0.0,,,,,,
Termination,2020,204,4,glyphosate,10,planter,3,,213.3,0.11,0.02,0.06,0.1,,,,,,
Termination,2020,215,4,glyphosate,10,planter,4,,220.8,0.16,0.03,0.02,0.1,,,,,,
Termination,2020,105,5,glufosinate,10,planter,1,,301.7,37.26,28.77,25.78,30.6,,,,,,
Termination,2020,122,5,glufosinate,10,planter,2,,135.0,21.38,19.04,20.02,20.1,,,,,,
Termination,2020,205,5,glufosinate,10,planter,3,,384.6,17.18,0.12,0.03,5.8,,,,,,
Termination,2020,222,5,glufosinate,10,planter,4,,189.0,14.33,19.74,21.41,18.5,,,,,,
Termination,2020,106,6,glyphosate,15,planter,1,,241.1,0.05,0.03,0.04,0.0,,,,,,
Termination,2020,118,6,glyphosate,15,planter,2,,213.2,0.01,0.02,0.01,0.0,,,,,,
Termination,2020,206,6,glyphosate,15,planter,3,,227.2,0.12,0.03,0.01,0.1,,,,,,
Termination,2020,218,6,glyphosate,15,planter,4,,244.3,0.01,0.04,0.04,0.0,,,,,,
Termination,2020,107,7,glufosinate,15,planter,1,,539.9,36.63,36.9,43.1,38.9,,,,,,
Termination,2020,120,7,glufosinate,15,planter,2,,245.5,20.85,13.74,19.14,17.9,,,,,,
Termination,2020,207,7,glufosinate,15,planter,3,,483.9,37.49,39.81,34.54,37.3,,,,,,
Termination,2020,220,7,glufosinate,15,planter,4,,285.7,17.59,23.31,27.88,22.9,,,,,,
Termination,2020,108,8,glyphosate,10,backpack,1,,231.4,0,0.06,0.01,0.0,,,,,,
Termination,2020,117,8,glyphosate,10,backpack,2,,221.7,0.11,0,0.02,0.0,,,,,,
Termination,2020,208,8,glyphosate,10,backpack,3,,242.0,0.06,0.02,0,0.0,,,,,,
Termination,2020,217,8,glyphosate,10,backpack,4,,280.0,0.01,0.17,0.04,0.1,,,,,,
Termination,2020,109,9,glufosinate,10,backpack,1,,463.8,39.47,13.73,15.35,22.9,,,,,,
Termination,2020,121,9,glufosinate,10,backpack,2,,328.6,15.55,18.03,15.15,16.2,,,,,,
Termination,2020,209,9,glufosinate,10,backpack,3,,433.0,31.46,27.73,29.12,29.4,,,,,,
Termination,2020,221,9,glufosinate,10,backpack,4,,293.8,17.96,17.69,17.69,17.8,,,,,,
Termination,2020,110,10,glyphosate,15,backpack,1,,303.5,0.05,0.03,0.09,0.1,,,,,,
Termination,2020,119,10,glyphosate,15,backpack,2,,218.5,0.01,0.04,0.01,0.0,,,,,,
Termination,2020,210,10,glyphosate,15,backpack,3,,243.7,0.02,0.02,0.01,0.0,,,,,,
Termination,2020,219,10,glyphosate,15,backpack,4,,218.3,0.06,0.15,0.14,0.1,,,,,,
Termination,2020,111,11,glufosinate,15,backpack,1,,228.8,14.16,13.94,17.89,15.3,,,,,,
Termination,2020,114,11,glufosinate,15,backpack,2,,241.2,19.52,18.27,15.48,17.8,,,,,,
Termination,2020,211,11,glufosinate,15,backpack,3,,250.5,27.88,20.58,23.63,24.0,,,,,,
Termination,2020,214,11,glufosinate,15,backpack,4,,204.5,9.05,7.65,22.28,13.0,,,,,,
